,Show Title,Show Year,Genres,IMBD Rating,Runtime/Duration,Age Rating,Production Countries,Streaming Service,Show URLs
35,The Family Man,(2019),"Drama, Action & Adventure, Comedy",8.7  (98k),45min,,India,India,https://www.justwatch.com/in/tv-show/the-family-man
36,Testament: The Story of Moses,(2024),"Documentary, Drama",6.2  (2k),1h 25min,,United States,India,https://www.justwatch.com/in/tv-show/testament-the-story-of-moses
37,Lootere,(2024),"Action & Adventure, Crime",6.2  (2k),45min,,India,India,https://www.justwatch.com/in/tv-show/lootere
38,Halo,(2022),"Action & Adventure, Science-Fiction, Mystery & Thriller, War & Military",7.3  (92k),52min,,United States,India,https://www.justwatch.com/in/tv-show/halo
39,Naruto,(2002),"Action & Adventure, Science-Fiction, Animation, Comedy, Fantasy",8.4  (127k),23min,,Japan,India,https://www.justwatch.com/in/tv-show/naruto
40,Dehati Ladke,(2023),Drama,8.4  (127k),24min,,India,India,https://www.justwatch.com/in/tv-show/dehati-ladke
41,Avatar: The Last Airbender,(2024),"Action & Adventure, Science-Fiction, Comedy, Drama, Kids & Family, Fantasy",7.2  (67k),54min,,United States,India,https://www.justwatch.com/in/tv-show/avatar-the-last-airbender
42,Euphoria,(2019),Drama,8.3  (241k),58min,A,United States,India,https://www.justwatch.com/in/tv-show/euphoria
43,Loki,(2021),"Fantasy, Science-Fiction, Action & Adventure, Drama",8.2  (411k),49min,,United States,India,https://www.justwatch.com/in/tv-show/loki
44,Naruto Shippūden,(2007),"Animation, Action & Adventure, Science-Fiction, Comedy, Drama, Fantasy",8.7  (168k),24min,U,Japan,India,https://www.justwatch.com/in/tv-show/naruto-shippuden
45,Money Heist,(2017),"Crime, Drama, Mystery & Thriller, Action & Adventure, Made in Europe",8.2  (531k),50min,,Spain,India,https://www.justwatch.com/in/tv-show/paperhouse
46,Modern Family,(2009),"Comedy, Drama, Romance",8.5  (483k),21min,U,United States,India,https://www.justwatch.com/in/tv-show/modern-family
47,Yellowstone,(2018),"Drama, Western",8.7  (220k),50min,,United States,India,https://www.justwatch.com/in/tv-show/yellowstone
48,Peaky Blinders,(2013),"Drama, Crime",8.8  (649k),58min,A,United Kingdom,India,https://www.justwatch.com/in/tv-show/peaky-blinders
49,House of the Dragon,(2022),"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.4  (375k),1h 2min,A,United States,India,https://www.justwatch.com/in/tv-show/house-of-the-dragon
50,Gullak,(2019),"Comedy, Drama, Kids & Family",9.1  (21k),29min,,India,India,https://www.justwatch.com/in/tv-show/gullak
51,Sugar,(2024),"Drama, Mystery & Thriller, Crime",7.9  (5k),38min,,United States,India,https://www.justwatch.com/in/tv-show/sugar
52,Breaking Bad,(2008),"Drama, Crime, Mystery & Thriller",7.9  (5k),47min,U,United States,India,https://www.justwatch.com/in/tv-show/breaking-bad
53,The Flash,(2014),"Action & Adventure, Drama, Science-Fiction",7.5  (368k),42min,,United States,India,https://www.justwatch.com/in/tv-show/the-flash
54,The Good Doctor,(2017),Drama,8.0  (112k),43min,U,United States,India,https://www.justwatch.com/in/tv-show/the-good-doctor
55,Asur: Welcome to Your Dark Side,(2020),"Crime, Drama, Mystery & Thriller",8.5  (65k),47min,,India,India,https://www.justwatch.com/in/tv-show/asur
56,American Horror Story,(2011),"Drama, Mystery & Thriller, Science-Fiction, Horror",8.0  (343k),44min,U,United States,India,https://www.justwatch.com/in/tv-show/american-horror-story
57,The Freelancer,(2023),"Mystery & Thriller, Action & Adventure, Drama",8.1  (6k),50min,,India,India,https://www.justwatch.com/in/tv-show/the-freelancer
58,Dark Desire,(2020),"Mystery & Thriller, Drama",6.5  (9k),34min,,Mexico,India,https://www.justwatch.com/in/tv-show/dark-desire
59,Stranger Things,(2016),"Drama, Science-Fiction, Mystery & Thriller, Fantasy, Horror",6.5  (9k),1h 1min,,United States,India,https://www.justwatch.com/in/tv-show/stranger-things
60,Broken But Beautiful,(2018),"Drama, Romance",8.6  (17k),26min,,India,India,https://www.justwatch.com/in/tv-show/broken-but-beautiful
